ResponseID,StartDate,EndDate,Week No.,Q001,Q001_999,Weight
R_wLsXuSPmpHTlB0l,9/5/2017 0:00,9/5/2017 0:00,36,5,N/A,0
R_274lOZtpKccoL6E,9/5/2017 0:00,9/5/2017 0:00,36,4,,0
R_1roAv4NQF4eor13,9/5/2017 0:00,9/5/2017 0:00,36,4,,0
R_1Dv98G2sia9E169,9/5/2017 0:00,9/5/2017 0:00,36,4,It is hard to edit download and document list,0
R_3KwLV40y5oPpkfk,9/5/2017 0:00,9/5/2017 0:00,36,5,Cheaper,0
R_1FKCzwI2anuUqtd,9/5/2017 0:00,9/5/2017 0:00,36,5,,0
R_238lYFMPOAWnVzq,9/5/2017 0:00,9/5/2017 0:00,36,5,"Some parts of the program have become more complex than they used to be.  While that does give more capability, it also makes it harder to do very simple things.  Multiply two blocks in Excel is a prime example",0
R_22FwzI0dd7Ospzb,9/5/2017 0:00,9/5/2017 0:00,36,5,,0
R_RWV1thsfXl00y4N,9/5/2017 0:00,9/5/2017 0:00,36,4,,0
R_3ess12BJaPOxcAv,9/5/2017 0:00,9/5/2017 0:00,36,4,"Better Login path, and website a bit complicated to navigate. I get rather confused when trying to download software to a new computer. Don't know where to go on the website.",0
R_9QrFeo4X08t4K1H,9/5/2017 0:00,9/5/2017 0:00,36,5,,0
R_1mEkiK0phQBHzMp,9/5/2017 0:00,9/5/2017 0:00,36,5,Office freezes up A LOT! Make it able to work across all computer systems.,0
R_2Y3VFW6TK5OuM4I,9/5/2017 0:00,9/5/2017 0:00,36,5,"More personalization with icons, folders, colors...",0
R_spvdmiueGM07bR7,9/5/2017 0:00,9/5/2017 0:00,36,4,?,0
R_9AKn29Oobh2vbi1,9/6/2017 0:00,9/6/2017 0:00,36,4,,0
R_20Yz1yoxrNu6Eyj,9/6/2017 0:00,9/6/2017 0:00,36,4,There are some editing features I miss.,0
R_2xRYZ3u5WTLQnNc,9/6/2017 0:00,9/6/2017 0:00,36,3,"For people like myself who do not use the products much , there should be the option to choose what do use the most, an a La carte type of choice with prices that are not obnoxious.",0
R_2qFa13FPxdhdaps,9/6/2017 0:00,9/6/2017 0:00,36,4,"Offer more features for family networking; possibly more networking tools to integrate a shared network experience for an entire family.  Also, revive MS Outlook , the new version leaves a lot to be desired.",0
R_8kunKqdvKSHx65r,9/6/2017 0:00,9/6/2017 0:00,36,3,Lower the price.,0.14286
R_1CEJTIfRks5c8RH,9/6/2017 0:00,9/6/2017 0:00,36,5,"Make the snooze times in outlook reminder dialog be more adjustable. I.E. be able to set a specific number of minutes, hours, days rather than the few designated choices now available.",0.01719
R_cTLSVWjVMhUkLCx,9/6/2017 0:00,9/6/2017 0:00,36,4,,2.06259
R_2Bb0Tb0CIbl5Xle,9/6/2017 0:00,9/6/2017 0:00,36,5,,0.11204
R_3e9a4PxCF1HgJwk,9/6/2017 0:00,9/6/2017 0:00,36,4,"Lower the price.  Provide better, but less frequent software updates.",0.34242
R_20PtS9wtp1UiRVG,9/6/2017 0:00,9/6/2017 0:00,36,2,actually sync email to all devices,0.35007
R_sulEmy4BOptzeuZ,9/6/2017 0:00,9/6/2017 0:00,36,5,Easier accessibility to vertically center text inside tables/on the center of a title page,2.01345
R_1qWbDVBaKpmEo2o,9/6/2017 0:00,9/6/2017 0:00,36,5,,2.01345
